                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.90398,                 1.3299,                 2.0949,                0.73646,                0.46873,                0.53948,                0.42259,                0.98791,                 3.4558,                 2.2458,              0.0065468,              0.0065468,              0.0065468
                    103,                0.90072,                 1.3249,                 2.0954,                0.70418,                0.49476,                  0.536,                0.42427,                 1.0021,                 3.5103,                 2.2697,               0.006487,               0.006487,               0.006487
                    104,                0.89467,                 1.3256,                 2.0796,                0.67857,                0.48611,                0.52957,                0.41877,                 1.0014,                 3.4615,                 2.2703,              0.0064269,              0.0064269,              0.0064269
                    105,                0.89349,                 1.3143,                 2.0815,                0.70724,                0.47315,                0.53472,                0.42363,                0.99024,                 3.3994,                 2.2522,              0.0063666,              0.0063666,              0.0063666
                    106,                0.89453,                 1.3287,                 2.0756,                0.69629,                0.48974,                0.53912,                0.42859,                0.97502,                  3.336,                 2.2324,              0.0063061,              0.0063061,              0.0063061
                    107,                0.89547,                 1.2932,                 2.0828,                0.74595,                0.48411,                0.54307,                0.43117,                0.96892,                 3.4589,                 2.2301,              0.0062453,              0.0062453,              0.0062453
                    108,                0.88084,                 1.2787,                 2.0771,                0.70674,                0.48838,                0.54006,                0.43307,                0.97262,                 3.4639,                  2.235,              0.0061844,              0.0061844,              0.0061844
                    109,                0.88201,                 1.2939,                 2.0759,                0.70208,                 0.4928,                0.53829,                0.43124,                0.96696,                 3.4959,                  2.231,              0.0061233,              0.0061233,              0.0061233
                    110,                0.87548,                 1.2912,                 2.0697,                0.69171,                0.50115,                0.54436,                0.43613,                0.98525,                 3.5017,                 2.2506,               0.006062,               0.006062,               0.006062
                    111,                0.87718,                 1.2735,                 2.0589,                0.70892,                0.49553,                 0.5466,                0.43576,                0.97519,                 3.3882,                 2.2282,              0.0060006,              0.0060006,              0.0060006
                    112,                0.87547,                 1.2599,                 2.0601,                0.70592,                0.50374,                0.54379,                0.43339,                0.96146,                 3.3654,                 2.2128,              0.0059389,              0.0059389,              0.0059389
                    113,                0.87952,                 1.2888,                  2.058,                0.72304,                 0.4829,                0.54044,                 0.4287,                0.97009,                 3.4096,                 2.2365,              0.0058772,              0.0058772,              0.0058772
                    114,                 0.8707,                  1.256,                 2.0601,                0.74203,                0.48528,                0.54269,                 0.4299,                 0.9611,                  3.433,                 2.2387,              0.0058153,              0.0058153,              0.0058153
                    115,                0.86561,                 1.2412,                  2.062,                0.71532,                0.49596,                0.54418,                0.43265,                0.96525,                 3.4955,                 2.2396,              0.0057533,              0.0057533,              0.0057533
                    116,                0.86461,                 1.2248,                 2.0509,                0.69765,                 0.5145,                0.55371,                0.43974,                0.97596,                 3.5209,                 2.2494,              0.0056911,              0.0056911,              0.0056911
                    117,                0.87422,                  1.253,                 2.0629,                0.71543,                0.50498,                0.55185,                0.43891,                0.98624,                 3.5246,                 2.2588,              0.0056289,              0.0056289,              0.0056289
                    118,                0.86268,                 1.2342,                 2.0439,                0.72296,                0.49927,                0.54443,                0.43752,                0.98129,                 3.5529,                 2.2561,              0.0055665,              0.0055665,              0.0055665
                    119,                 0.8555,                 1.2411,                 2.0453,                0.72981,                0.50362,                0.54868,                 0.4348,                0.97705,                 3.5419,                 2.2456,              0.0055041,              0.0055041,              0.0055041
